P 11.6135908004 11.6587374197 2 205 0
P 1.2902863101 9.04078582767 2 160 5
P 21.9368952907 14.2766890117 2 112 5
P 5.64835767563 18.2659924733 2 108 4
P 17.5788239251 5.05148236609 2 271 4
P 0.0 17.5664628114 1 38 2
P 23.2271816008 5.75101202793 2 41 2
P 15.9964071303 22.4925373322 2 118 5
P 7.23077447046 0.824937507164 2 278 5
P 12.096860926 23.3174748393 2 113 5
P 11.1303206747 0.0 2 97 5
P 5.90572926007 2.48227346488 2 26 1
P 17.3214523407 20.8352013745 2 59 1
P 18.2860133478 0.765777669475 2 79 3
P 4.94116825299 22.5516971699 2 88 3
P 20.1067105381 18.0593851211 2 74 5
P 3.12047106262 5.25808971821 2 76 5
P 4.594838746 13.7860000656 2 78 2
P 18.6323428548 9.5314747737 2 57 2
P 8.80119206169 20.0157034284 2 22 1
P 14.4259895391 3.30177141098 2 355 1
P 19.4667873213 20.0561682576 2 104 5
P 3.76039427948 3.26130658173 2 101 5
F 1 54 1 15 20.866071837878867 7
F 1 30 1 15 20.866071837878867 8
F 2 39 2 20 13.2989669355184 1
F 2 39 3 20 17.34862337860227 5
F 2 39 7 20 19.254913867732814 7
F 2 39 9 20 20.150762363414994 8
F 2 39 12 20 17.770899558579195 5
F 2 39 14 20 21.459764130888694 9
F 2 39 15 20 15.813214520950552 3
F 2 39 16 20 11.473531685633413 -1
F 2 39 17 20 14.372563320404119 2
F 2 39 19 20 17.63501829159288 5
F 2 39 21 20 17.496269773156296 5
F 2 59 2 5 22.182199770273648 12
F 2 59 7 5 16.73771941641954 6
F 2 59 8 5 18.236303599003566 8
F 2 59 9 5 13.394334011366002 3
F 2 59 10 5 20.795784525378057 10
F 2 59 12 5 17.62717682968655 7
F 2 59 16 5 12.697770979735475 2
F 2 59 21 5 19.625352017774464 9
F 2 59 22 5 14.791148024829322 4
F 1 77 5 19 9.135631412590898 0
